"Gerencia De Manejo del Fuego, Diciembre 2022",,,,
Año,Entidad Federativa,Cantidad de Incendios Forestales,Superficie quemada en ha,Región
2000,Colima,31,389,Occidente
2000,Nuevo León,67,341,Noreste
2000,Veracruz,84,219,Centro
2000,Baja California Sur,2,9,Noroeste
2001,Chiapas,442,33515,Sureste
2001,Jalisco,915,31780,Occidente
2001,Oaxaca,274,14838,Centro
2001,Guerrero,327,9988,Centro
2001,Durango,92,7380,Norte
2001,Chihuahua,601,4843,Norte
2001,Michoacán,446,3939,Occidente
2001,Nayarit,71,3810,Occidente
2001,México,986,2845,Centro
2001,Zacatecas,66,2811,Occidente
2001,Puebla,182,2752,Centro
2001,Tlaxcala,231,2571,Centro
2001,Coahuila,50,2108,Noreste
2001,Sonora,60,2057,Noroeste
2001,Tabasco,7,1387,Sureste
2001,Baja California,131,1214,Noroeste
2001,Quintana Roo,108,992,Sureste
2001,Colima,48,943,Occidente
2001,Campeche,34,942,Sureste
2001,Ciudad de México,591,904,Centro
2001,Guanajuato,63,810,Occidente
2001,Yucatán,37,789,Sureste
2001,San Luis Potosí,39,640,Occidente
2001,Sinaloa,100,623,Noroeste
2001,Hidalgo,102,605,Centro
2001,Tamaulipas,14,529,Noreste
2001,Morelos,160,462,Centro
2001,Veracruz,93,296,Centro
2001,Querétaro,36,186,Centro
2001,Nuevo León,22,130,Noreste
2001,Aguascalientes,7,103,Occidente
2001,Baja California Sur,5,91,Noroeste
2002,Oaxaca,280,37762,Centro
2002,Chiapas,461,25713,Sureste
2002,Guerrero,225,20452,Centro
2002,Chihuahua,852,17001,Norte
2002,Baja California,153,14688,Noroeste
2002,Coahuila,43,13121,Noreste
2002,Durango,183,13100,Norte
2002,Sinaloa,81,12596,Noroeste
2002,Jalisco,397,11213,Occidente
2002,Sonora,95,9187,Noroeste
2002,Michoacán,638,6805,Occidente
2002,Puebla,306,3323,Centro
2002,Tlaxcala,313,2791,Centro
2002,Zacatecas,34,2007,Occidente
2002,Colima,49,1872,Occidente
2002,México,1025,1815,Centro
2002,Yucatán,40,1721,Sureste
2002,Tabasco,25,1710,Sureste
2002,Nayarit,70,1669,Occidente
2002,San Luis Potosí,86,1567,Occidente
2002,Tamaulipas,25,1432,Noreste
2002,Ciudad de México,2090,1089,Centro
2002,Guanajuato,43,940,Occidente
2002,Quintana Roo,116,909,Sureste
2002,Hidalgo,143,849,Centro
2002,Veracruz,141,757,Centro
2002,Morelos,227,719,Centro
2002,Querétaro,47,579,Centro
2002,Campeche,14,442,Sureste
2002,Aguascalientes,4,363,Occidente
2002,Nuevo León,46,72,Noreste
2002,Baja California Sur,4,36,Noroeste
2003,Oaxaca,327,69366,Centro
2003,Chiapas,495,67355,Sureste
2003,Baja California,152,27299,Noroeste
2003,Campeche,69,25611,Sureste
2003,Guerrero,245,17599,Centro
2003,Yucatán,72,12414,Sureste
2003,Michoacán,1022,11533,Occidente
2003,Jalisco,539,10775,Occidente
2003,Durango,172,9340,Norte
2003,México,1493,7602,Centro
2003,Sonora,45,7438,Noroeste
2003,Chihuahua,548,7343,Norte
2003,Quintana Roo,158,6717,Sureste
2003,Puebla,430,6059,Centro
2003,Nayarit,124,6007,Occidente
2003,San Luis Potosí,85,5048,Occidente
2003,Zacatecas,131,3753,Occidente
2003,Veracruz,215,3604,Centro
2003,Sinaloa,111,2681,Noroeste
2003,Hidalgo,242,2539,Centro
2003,Tamaulipas,23,2180,Noreste
2003,Tabasco,77,2108,Sureste
2003,Coahuila,32,2057,Noreste
2003,Ciudad de México,796,1312,Centro
2003,Querétaro,80,1179,Centro
2003,Guanajuato,25,1058,Occidente
2003,Morelos,226,686,Centro
2003,Tlaxcala,191,572,Centro
2003,Aguascalientes,23,448,Occidente
2003,Baja California Sur,4,361,Noroeste
2003,Colima,29,356,Occidente
2003,Nuevo León,30,51,Noreste
2004,Chiapas,293,11691,Sureste
2004,Guerrero,153,9060,Centro
2004,Baja California,175,6776,Noroeste
2004,Michoacán,752,6404,Occidente
2004,Jalisco,454,6099,Occidente
2004,Oaxaca,127,5776,Centro
2004,Sonora,33,4668,Noroeste
2004,Chihuahua,335,4149,Norte
2004,Durango,124,3443,Norte
2004,Puebla,179,3139,Centro
2004,Yucatán,41,2740,Sureste
2004,Zacatecas,138,2607,Occidente
2004,Campeche,23,2583,Sureste
2004,México,1010,2392,Centro
2004,Nayarit,82,2109,Occidente
2004,Ciudad de México,1653,1651,Centro
2004,Sinaloa,45,1169,Noroeste
2004,Colima,45,675,Occidente
2004,Tamaulipas,11,633,Noreste
2004,Aguascalientes,16,536,Occidente
2004,Veracruz,53,481,Centro
2004,Quintana Roo,57,448,Sureste
2004,Hidalgo,75,376,Centro
2004,Coahuila,45,358,Noreste
2004,Guanajuato,13,275,Occidente
2004,Tlaxcala,163,268,Centro
2004,Querétaro,33,256,Centro
2004,Morelos,123,208,Centro
2004,Baja California Sur,11,194,Noroeste
2004,San Luis Potosí,14,88,Occidente
2004,Nuevo León,24,74,Noreste
2004,Tabasco,0,0,Sureste
2005,Baja California,374,38959,Noroeste
2005,Oaxaca,298,30938,Centro
2005,Jalisco,717,28407,Occidente
2005,Chiapas,461,23508,Sureste
2005,Zacatecas,279,23040,Occidente
2005,Guerrero,207,18004,Centro
2005,Michoacán,1195,17444,Occidente
2005,Nayarit,135,16509,Occidente
2005,Durango,237,13041,Norte
2005,Puebla,403,8215,Centro
2005,México,1805,7422,Centro
2005,Quintana Roo,150,5761,Sureste
2005,Chihuahua,646,4673,Norte
2005,Yucatán,82,4323,Sureste
2005,Aguascalientes,28,4166,Occidente
2005,Coahuila,116,3809,Noreste
2005,San Luis Potosí,74,3656,Occidente
2005,Sonora,29,3348,Noroeste
2005,Querétaro,116,2167,Centro
2005,Sinaloa,57,2104,Noroeste
2005,Baja California Sur,4,2097,Noroeste
2005,Guanajuato,41,1986,Occidente
2005,Campeche,37,1832,Sureste
2005,Tabasco,32,1773,Sureste
2005,Ciudad de México,1261,1667,Centro
2005,Nuevo León,38,1416,Noreste
2005,Veracruz,199,1265,Centro
2005,Hidalgo,196,1220,Centro
2005,Colima,60,1200,Occidente
2005,Tamaulipas,27,1175,Noreste
2005,Tlaxcala,223,514,Centro
2005,Morelos,182,455,Centro
2006,Quintana Roo,142,53619,Sureste
2006,Coahuila,151,24475,Noreste
2006,Chihuahua,1057,18505,Norte
2006,Jalisco,815,15810,Occidente
2006,Baja California,195,13738,Noroeste
2006,Durango,174,13228,Norte
2006,Michoacán,1062,13176,Occidente
2006,Oaxaca,239,13097,Centro
2006,Chiapas,329,10485,Sureste
2006,Yucatán,89,9389,Sureste
2006,Sonora,55,8506,Noroeste
2006,México,1511,7073,Centro
2006,Guerrero,163,6962,Centro
2006,Sinaloa,94,5688,Noroeste
2006,Tamaulipas,44,4393,Noreste
2006,Puebla,350,3306,Centro
2006,Zacatecas,65,2972,Occidente
2006,Nayarit,99,2923,Occidente
2006,San Luis Potosí,72,2747,Occidente
2006,Campeche,20,2655,Sureste
2006,Nuevo León,71,2000,Noreste
2006,Ciudad de México,1096,1711,Centro
2006,Hidalgo,172,1449,Centro
2006,Veracruz,144,1306,Centro
2006,Tlaxcala,222,946,Centro
2006,Guanajuato,19,934,Occidente
2006,Morelos,176,888,Centro
2006,Colima,50,813,Occidente
2006,Aguascalientes,22,682,Occidente
2006,Querétaro,41,347,Centro
2006,Baja California Sur,5,62,Noroeste
2006,Tabasco,1,1,Sureste
2007,Baja California,137,29685,Noroeste
2007,Oaxaca,181,16033,Centro
2007,Jalisco,436,14963,Occidente
2007,Chiapas,444,12894,Sureste
2007,Guerrero,212,12621,Centro
2007,Michoacán,798,11629,Occidente
2007,Chihuahua,626,10561,Norte
2007,Sonora,42,4469,Noroeste
2007,Sinaloa,70,4420,Noroeste
2007,Durango,102,4118,Norte
2007,Nayarit,140,3351,Occidente
2007,México,902,2750,Centro
2007,Yucatán,62,2679,Sureste
2007,Nuevo León,23,1844,Noreste
2007,Tabasco,16,1645,Sureste
2007,Veracruz,142,1288,Centro
2007,Ciudad de México,681,891,Centro
2007,Quintana Roo,86,757,Sureste
2007,Puebla,251,694,Centro
2007,Coahuila,50,619,Noreste
2007,Guanajuato,26,604,Occidente
2007,Colima,49,503,Occidente
2007,Zacatecas,4,385,Occidente
2007,Morelos,126,327,Centro
2007,Campeche,21,316,Sureste
2007,Aguascalientes,14,310,Occidente
2007,San Luis Potosí,24,301,Occidente
2007,Baja California Sur,14,274,Noroeste
2007,Tlaxcala,127,260,Centro
2007,Querétaro,22,202,Centro
2007,Hidalgo,50,159,Centro
2007,Tamaulipas,15,113,Noreste
2008,Durango,138,27691,Norte
2008,Coahuila,172,24429,Noreste
2008,Jalisco,625,23770,Occidente
2008,Quintana Roo,212,17830,Sureste
2008,Chihuahua,1153,17216,Norte
2008,Oaxaca,274,14677,Centro
2008,Baja California,242,13215,Noroeste
2008,Guerrero,251,13121,Centro
2008,Michoacán,1236,12940,Occidente
2008,Chiapas,333,9711,Sureste
2008,Sonora,45,6616,Noroeste
2008,Nayarit,161,6324,Occidente
2008,México,1671,5750,Centro
2008,Yucatán,100,5592,Sureste
2008,Nuevo León,57,4905,Noreste
2008,Sinaloa,85,3749,Noroeste
2008,San Luis Potosí,160,3547,Occidente
2008,Querétaro,151,2786,Centro
2008,Aguascalientes,22,2627,Occidente
2008,Puebla,442,2079,Centro
2008,Guanajuato,45,1841,Occidente
2008,Veracruz,253,1734,Centro
2008,Ciudad de México,1000,1722,Centro
2008,Hidalgo,274,1228,Centro
2008,Zacatecas,7,1192,Occidente
2008,Tamaulipas,34,1182,Noreste
2008,Campeche,42,1087,Sureste
2008,Tabasco,56,1030,Sureste
2008,Morelos,219,847,Centro
2008,Tlaxcala,206,619,Centro
2008,Colima,59,540,Occidente
2008,Baja California Sur,10,49,Noroeste
2009,Baja California,274,71855,Noroeste
2009,Quintana Roo,226,42350,Sureste
2009,Coahuila,131,21476,Noreste
2009,Yucatán,54,15463,Sureste
2009,Oaxaca,237,14650,Centro
2009,Zacatecas,126,13438,Occidente
2009,Chiapas,394,12514,Sureste
2009,Michoacán,1083,12469,Occidente
2009,Guerrero,191,11497,Centro
2009,Chihuahua,842,10704,Norte
2009,Jalisco,402,9459,Occidente
2009,Puebla,512,7403,Centro
2009,México,1808,6031,Centro
2009,Sonora,34,6009,Noroeste
2009,Tabasco,85,4864,Sureste
2009,Durango,148,4581,Norte
2009,Nayarit,149,4525,Occidente
2009,Campeche,56,4335,Sureste
2009,Hidalgo,311,3337,Centro
2009,Nuevo León,76,3091,Noreste
2009,Veracruz,255,2807,Centro
2009,Tamaulipas,41,2269,Noreste
2009,Tlaxcala,357,2080,Centro
2009,Querétaro,143,2060,Centro
2009,Ciudad de México,1190,1869,Centro
2009,San Luis Potosí,99,1507,Occidente
2009,Sinaloa,55,1488,Noroeste
2009,Morelos,189,678,Centro
2009,Baja California Sur,25,588,Noroeste
2009,Guanajuato,27,435,Occidente
2009,Aguascalientes,14,304,Occidente
2009,Colima,35,213,Occidente
2010,Baja California,237,14064,Noroeste
2010,Oaxaca,227,13180,Centro
2010,Guerrero,186,10712,Centro
2010,Chiapas,285,7698,Sureste
2010,Chihuahua,687,7689,Norte
2010,Michoacán,718,6779,Occidente
2010,Jalisco,192,6299,Occidente
2010,Puebla,316,5823,Centro
2010,Quintana Roo,78,5739,Sureste
2010,Sonora,21,5306,Noroeste
2010,Durango,60,5084,Norte
2010,Coahuila,68,4611,Noreste
2010,Yucatán,34,3463,Sureste
2010,México,1108,3127,Centro
2010,Nayarit,100,2421,Occidente
2010,Sinaloa,51,1820,Noroeste
2010,Zacatecas,52,1700,Occidente
2010,Veracruz,200,1233,Centro
2010,Tabasco,45,1230,Sureste
2010,Baja California Sur,17,1165,Noroeste
2010,Ciudad de México,863,1160,Centro
2010,Colima,36,637,Occidente
2010,Nuevo León,30,613,Noreste
2010,Tamaulipas,16,545,Noreste
2010,Querétaro,35,529,Centro
2010,Tlaxcala,161,500,Centro
2010,San Luis Potosí,43,499,Occidente
2010,Campeche,19,400,Sureste
2010,Hidalgo,84,310,Centro
2010,Morelos,140,277,Centro
2010,Guanajuato,8,65,Occidente
2010,Aguascalientes,8,45,Occidente
2011,Coahuila,162,424541,Noreste
2011,Chihuahua,1687,87920,Norte
2011,Quintana Roo,132,79022,Sureste
2011,Sonora,66,63237,Noroeste
2011,Zacatecas,133,42279,Occidente
2011,Durango,249,42005,Norte
2011,Jalisco,646,28781,Occidente
2011,Baja California,304,19509,Noroeste
2011,Oaxaca,334,18176,Centro
2011,Nuevo León,98,17935,Noreste
2011,Tamaulipas,73,15959,Noreste
2011,Chiapas,332,14435,Sureste
2011,San Luis Potosí,136,13497,Occidente
2011,Guerrero,138,12818,Centro
2011,Michoacán,1211,11840,Occidente
2011,Puebla,646,10902,Centro
2011,México,2419,9284,Centro
2011,Yucatán,61,7458,Sureste
2011,Campeche,34,4748,Sureste
2011,Nayarit,155,4560,Occidente
2011,Ciudad de México,1373,4416,Centro
2011,Sinaloa,78,4084,Noroeste
2011,Hidalgo,342,4076,Centro
2011,Veracruz,417,3665,Centro
2011,Querétaro,129,2776,Centro
2011,Morelos,242,2522,Centro
2011,Guanajuato,66,2385,Occidente
2011,Tlaxcala,404,1602,Centro
2011,Aguascalientes,18,1549,Occidente
2011,Tabasco,6,289,Sureste
2011,Colima,17,104,Occidente
2011,Baja California Sur,5,32,Noroeste
2012,Sonora,53,75202,Noroeste
2012,Chihuahua,1479,51903,Norte
2012,Durango,270,51626,Norte
2012,Coahuila,90,32182,Noreste
2012,Baja California,230,27222,Noroeste
2012,Jalisco,610,24397,Occidente
2012,Oaxaca,195,15237,Centro
2012,Guerrero,162,15177,Centro
2012,Michoacán,885,13854,Occidente
2012,Chiapas,250,8969,Sureste
2012,Zacatecas,90,5625,Occidente
2012,Nayarit,143,4766,Occidente
2012,Sinaloa,58,4516,Noroeste
2012,Puebla,390,3460,Centro
2012,México,992,2633,Centro
2012,Tabasco,5,1525,Sureste
2012,Morelos,148,1392,Centro
2012,Quintana Roo,56,1015,Sureste
2012,Veracruz,129,916,Centro
2012,Tlaxcala,208,815,Centro
2012,Querétaro,34,780,Centro
2012,Colima,34,611,Occidente
2012,Hidalgo,145,492,Centro
2012,Yucatán,14,461,Sureste
2012,Guanajuato,18,429,Occidente
2012,San Luis Potosí,33,427,Occidente
2012,Campeche,6,408,Sureste
2012,Ciudad de México,357,360,Centro
2012,Nuevo León,52,280,Noreste
2012,Aguascalientes,14,266,Occidente
2012,Tamaulipas,12,205,Noreste
2012,Baja California Sur,8,73,Noroeste
2013,Sonora,51,69856,Noroeste
2013,Jalisco,710,48331,Occidente
2013,Oaxaca,378,31245,Centro
2013,Chihuahua,1137,30554,Norte
2013,Guerrero,188,26622,Centro
2013,Quintana Roo,71,24653,Sureste
2013,Chiapas,422,20323,Sureste
2013,Durango,231,19761,Norte
2013,Baja California,208,18889,Noroeste
2013,Baja California Sur,31,18741,Noroeste
2013,Michoacán,1180,16210,Occidente
2013,San Luis Potosí,65,11945,Occidente
2013,México,2350,9790,Centro
2013,Puebla,511,9047,Centro
2013,Veracruz,228,6691,Centro
2013,Nayarit,100,5478,Occidente
2013,Hidalgo,445,5238,Centro
2013,Campeche,18,4606,Sureste
2013,Sinaloa,47,4415,Noroeste
2013,Tabasco,23,4339,Sureste
2013,Morelos,152,4287,Centro
2013,Zacatecas,60,4030,Occidente
2013,Guanajuato,25,3877,Occidente
2013,Ciudad de México,1159,2780,Centro
2013,Yucatán,46,2598,Sureste
2013,Tamaulipas,26,2498,Noreste
2013,Colima,65,2388,Occidente
2013,Querétaro,91,1231,Centro
2013,Tlaxcala,296,1147,Centro
2013,Aguascalientes,42,902,Occidente
2013,Nuevo León,30,583,Noreste
2013,Coahuila,20,164,Noreste
2014,Sonora,35,49781,Noroeste
2014,Chihuahua,818,17601,Norte
2014,Baja California,102,15639,Noroeste
2014,Oaxaca,243,11071,Centro
2014,Durango,199,8434,Norte
2014,Jalisco,442,7706,Occidente
2014,Guerrero,81,7301,Centro
2014,Baja California Sur,24,6435,Noroeste
2014,Michoacán,487,4729,Occidente
2014,Tabasco,8,4659,Sureste
2014,Puebla,335,3745,Centro
2014,Coahuila,55,2485,Noreste
2014,Chiapas,179,2261,Sureste
2014,México,876,2172,Centro
2014,Campeche,5,1876,Sureste
2014,Quintana Roo,40,1409,Sureste
2014,Veracruz,181,1276,Centro
2014,Yucatán,9,984,Sureste
2014,Morelos,108,931,Centro
2014,Ciudad de México,584,882,Centro
2014,Aguascalientes,33,810,Occidente
2014,Hidalgo,116,558,Centro
2014,Zacatecas,33,512,Occidente
2014,Guanajuato,15,399,Occidente
2014,Tlaxcala,185,366,Centro
2014,Nayarit,36,357,Occidente
2014,Sinaloa,26,347,Noroeste
2014,San Luis Potosí,13,298,Occidente
2014,Colima,17,172,Occidente
2014,Nuevo León,13,154,Noreste
2014,Querétaro,16,124,Centro
2014,Tamaulipas,11,65,Noreste
2015,Baja California,95,18589,Noroeste
2015,Oaxaca,263,11176,Centro
2015,Yucatán,34,8646,Sureste
2015,Jalisco,364,8019,Occidente
2015,Campeche,28,6530,Sureste
2015,Quintana Roo,81,5572,Sureste
2015,Guerrero,147,5487,Centro
2015,Chiapas,320,5105,Sureste
2015,Puebla,156,2118,Centro
2015,Chihuahua,252,1974,Norte
2015,Sonora,31,1960,Noroeste
2015,Baja California Sur,37,1941,Noroeste
2015,México,519,1387,Centro
2015,Michoacán,225,1366,Occidente
2015,Veracruz,130,1156,Centro
2015,Ciudad de México,502,788,Centro
2015,Zacatecas,42,779,Occidente
2015,Coahuila,32,725,Noreste
2015,Tabasco,26,696,Sureste
2015,Guanajuato,9,677,Occidente
2015,Durango,68,659,Norte
2015,Aguascalientes,28,609,Occidente
2015,Sinaloa,16,502,Noroeste
2015,Nayarit,57,453,Occidente
2015,Morelos,106,385,Centro
2015,San Luis Potosí,18,379,Occidente
2015,Tlaxcala,157,267,Centro
2015,Tamaulipas,5,228,Noreste
2015,Colima,11,116,Occidente
2015,Hidalgo,30,113,Centro
2015,Nuevo León,13,81,Noreste
2015,Querétaro,7,58,Centro
2016,Jalisco,991,68265,Occidente
2016,Sonora,77,39271,Noroeste
2016,Oaxaca,278,21288,Centro
2016,Michoacán,826,18098,Occidente
2016,Chihuahua,702,13418,Norte
2016,Guerrero,136,11184,Centro
2016,Durango,254,9908,Norte
2016,Chiapas,417,9908,Sureste
2016,Puebla,456,9174,Centro
2016,Yucatán,155,7021,Sureste
2016,Zacatecas,130,6887,Occidente
2016,Colima,81,6120,Occidente
2016,México,1483,5935,Centro
2016,Baja California,132,5728,Noroeste
2016,Campeche,21,5177,Sureste
2016,Coahuila,101,4137,Noreste
2016,Hidalgo,384,3206,Centro
2016,Tabasco,23,3049,Sureste
2016,Veracruz,183,3013,Centro
2016,San Luis Potosí,86,2989,Occidente
2016,Nayarit,105,2740,Occidente
2016,Aguascalientes,104,2672,Occidente
2016,Guanajuato,46,2380,Occidente
2016,Quintana Roo,41,2301,Sureste
2016,Sinaloa,30,1557,Noroeste
2016,Tlaxcala,402,1498,Centro
2016,Morelos,198,1476,Centro
2016,Querétaro,40,1413,Centro
2016,Nuevo León,54,1196,Noreste
2016,Ciudad de México,458,844,Centro
2016,Tamaulipas,13,641,Noreste
2016,Baja California Sur,15,284,Noroeste
2017,Jalisco,759,189815,Occidente
2017,Sonora,76,104324,Noroeste
2017,Chihuahua,808,87230,Norte
2017,Baja California,193,50949,Noroeste
2017,Oaxaca,268,42080,Centro
2017,Durango,509,41009,Norte
2017,Nayarit,110,32293,Occidente
2017,Guerrero,248,24068,Centro
2017,Zacatecas,129,16315,Occidente
2017,Michoacán,808,14490,Occidente
2017,Campeche,29,13818,Sureste
2017,Chiapas,390,13002,Sureste
2017,México,1450,11743,Centro
2017,Yucatán,103,11008,Sureste
2017,Puebla,519,10787,Centro
2017,Coahuila,154,10290,Noreste
2017,Quintana Roo,64,9631,Sureste
2017,Guanajuato,54,7665,Occidente
2017,Aguascalientes,79,4735,Occidente
2017,San Luis Potosí,84,4378,Occidente
2017,Morelos,228,3406,Centro
2017,Sinaloa,46,3354,Noroeste
2017,Veracruz,238,3220,Centro
2017,Hidalgo,303,2959,Centro
2017,Tamaulipas,17,2670,Noreste
2017,Querétaro,36,2557,Centro
2017,Tlaxcala,376,2395,Centro
2017,Ciudad de México,653,2345,Centro
2017,Colima,84,2030,Occidente
2017,Tabasco,20,986,Sureste
2017,Nuevo León,47,734,Noreste
2017,Baja California Sur,14,77,Noroeste
2018,Chihuahua,778,160927,Norte
2018,Sonora,61,51875,Noroeste
2018,Jalisco,526,44403,Occidente
2018,Durango,325,38293,Norte
2018,Guerrero,294,22077,Centro
2018,Oaxaca,174,19642,Centro
2018,Baja California,78,17999,Noroeste
2018,Nayarit,83,17996,Occidente
2018,Coahuila,86,14129,Noreste
2018,Michoacán,621,12676,Occidente
2018,Zacatecas,91,12281,Occidente
2018,Chiapas,347,11756,Sureste
2018,Sinaloa,54,10121,Noroeste
2018,México,1380,7812,Centro
2018,Quintana Roo,50,6855,Sureste
2018,Puebla,371,5297,Centro
2018,Tabasco,45,4352,Sureste
2018,Tamaulipas,19,4339,Noreste
2018,Guanajuato,50,3747,Occidente
2018,Nuevo León,44,3511,Noreste
2018,Campeche,3,3150,Sureste
2018,Ciudad de México,590,2342,Centro
2018,San Luis Potosí,56,2195,Occidente
2018,Yucatán,46,1851,Sureste
2018,Tlaxcala,266,1767,Centro
2018,Morelos,148,1607,Centro
2018,Hidalgo,101,1468,Centro
2018,Colima,54,1279,Occidente
2018,Veracruz,144,1251,Centro
2018,Aguascalientes,46,925,Occidente
2018,Querétaro,36,228,Centro
2018,Baja California Sur,3,11,Noroeste
2019,Jalisco,587,72268,Occidente
2019,Oaxaca,253,68624,Centro
2019,Durango,252,64670,Norte
2019,Nayarit,69,49568,Occidente
2019,Guerrero,268,43633,Centro
2019,Chihuahua,702,41639,Norte
2019,Baja California,102,38518,Noroeste
2019,Chiapas,454,31197,Sureste
2019,Sonora,63,24373,Noroeste
2019,San Luis Potosí,65,23932,Occidente
2019,Guanajuato,34,19174,Occidente
2019,Puebla,353,18727,Centro
2019,Campeche,15,14647,Sureste
2019,Michoacán,722,14353,Occidente
2019,México,1475,13498,Centro
2019,Quintana Roo,59,12795,Sureste
2019,Veracruz,230,11841,Centro
2019,Zacatecas,96,9709,Occidente
2019,Sinaloa,17,7850,Noroeste
2019,Coahuila,68,6847,Noreste
2019,Tamaulipas,32,6221,Noreste
2019,Tabasco,50,5844,Sureste
2019,Yucatán,22,5691,Sureste
2019,Colima,55,5279,Occidente
2019,Aguascalientes,85,4943,Occidente
2019,Querétaro,73,4877,Centro
2019,Morelos,178,3618,Centro
2019,Tlaxcala,303,3340,Centro
2019,Ciudad de México,544,3242,Centro
2019,Hidalgo,139,1732,Centro
2019,Nuevo León,42,946,Noreste
2019,Baja California Sur,3,78,Noroeste
2020,Baja California,141,79299,Noroeste
2020,Guerrero,255,49413,Centro
2020,Quintana Roo,68,41678,Sureste
2020,Jalisco,630,29677,Occidente
2020,Oaxaca,199,20693,Centro
2020,Michoacán,613,19767,Occidente
2020,Chiapas,319,17927,Sureste
2020,Durango,245,12901,Norte
2020,Nayarit,70,11740,Occidente
2020,Campeche,21,10946,Sureste
2020,Sonora,39,10819,Noroeste
2020,Puebla,268,10634,Centro
2020,México,1096,10095,Centro
2020,Yucatán,26,10015,Sureste
2020,Chihuahua,430,8910,Norte
2020,Coahuila,76,5284,Noreste
2020,Zacatecas,44,4945,Occidente
2020,Colima,33,3500,Occidente
2020,Veracruz,120,3253,Centro
2020,Tlaxcala,181,2436,Centro
2020,San Luis Potosí,67,2398,Occidente
2020,Hidalgo,75,2065,Centro
2020,Morelos,116,1908,Centro
2020,Ciudad de México,590,1806,Centro
2020,Sinaloa,23,1543,Noroeste
2020,Nuevo León,44,1520,Noreste
2020,Tabasco,27,1458,Sureste
2020,Guanajuato,24,903,Occidente
2020,Aguascalientes,18,522,Occidente
2020,Querétaro,38,488,Centro
2020,Tamaulipas,13,357,Noreste
2020,Baja California Sur,4,30,Noroeste
2021,Aguascalientes,37,1416,Occidente
2021,Baja California,79,19501,Noroeste
2021,Baja California Sur,5,10,Noroeste
2021,Campeche,5,2029,Sureste
2021,Chiapas,278,47682,Sureste
2021,Chihuahua,657,89525,Norte
2021,Ciudad de México,896,4146,Centro
2021,Coahuila,53,7553,Noreste
2021,Colima,38,2357,Occidente
2021,Durango,270,75925,Norte
2021,Guanajuato,25,3886,Occidente
2021,Guerrero,198,82323,Centro
2021,Hidalgo,70,1348,Centro
2021,Jalisco,1031,76490,Occidente
2021,México,1494,17580,Centro
2021,Michoacán,636,34107,Occidente
2021,Morelos,154,5015,Centro
2021,Nayarit,103,36843,Occidente
2021,Nuevo León,51,32794,Noreste
2021,Oaxaca,151,31749,Centro
2021,Puebla,313,8002,Centro
2021,Querétaro,51,2165,Centro
2021,Quintana Roo,33,1879,Sureste
2021,San Luis Potosí,78,11322,Occidente
2021,Sinaloa,23,2785,Noroeste
2021,Sonora,31,20186,Noroeste
2021,Tabasco,12,12608,Sureste
2021,Tamaulipas,25,13433,Noreste
2021,Tlaxcala,275,2259,Centro
2021,Veracruz,158,2694,Centro
2021,Yucatán,15,892,Sureste
2021,Zacatecas,92,10230,Occidente
2022,Aguascalientes,53,2637,Occidente
2022,Baja California,54,7095,Noroeste
2022,Baja California Sur,6,91,Noroeste
2022,Campeche,15,17897,Sureste
2022,Chiapas,373,70487,Sureste
2022,Chihuahua,482,78661,Norte
2022,Ciudad de México,721,1944,Centro
2022,Coahuila,91,22896,Noreste
2022,Colima,49,2831,Occidente
2022,Durango,269,86124,Norte
2022,Guanajuato,43,2647,Occidente
2022,Guerrero,245,108597,Centro
2022,Hidalgo,157,1332,Centro
2022,Jalisco,935,82722,Occidente
2022,México,1046,9467,Centro
2022,Michoacán,566,24043,Occidente
2022,Morelos,210,1722,Centro
2022,Nayarit,98,50424,Occidente
2022,Nuevo León,49,11987,Noreste
2022,Oaxaca,163,37236,Centro
2022,Puebla,320,5686,Centro
2022,Querétaro,26,450,Centro
2022,Quintana Roo,44,8245,Sureste
2022,San Luis Potosí,87,9594,Occidente
2022,Sinaloa,31,7616,Noroeste
2022,Sonora,56,33697,Noroeste
2022,Tabasco,18,5693,Sureste
2022,Tamaulipas,30,28277,Noreste
2022,Tlaxcala,126,578,Centro
2022,Veracruz,269,2305,Centro
2022,Yucatán,36,1289,Sureste
2022,Zacatecas,87,15356,Occidente
